from,to,type,confidence,reason,step
"Folder:templates","File:templates/register.html","CONTAINS",1,"",0
"Folder:templates","File:templates/products.html","CONTAINS",1,"",0
"Folder:templates","File:templates/login.html","CONTAINS",1,"",0
"Folder:templates","File:templates/dashboard.html","CONTAINS",1,"",0
"Folder:templates","File:templates/base.html","CONTAINS",1,"",0
"Folder:templates","File:templates/add_product.html","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m","File:qu-n-l--s-n-ph-m/routes.py","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m","File:qu-n-l--s-n-ph-m/requirements.txt","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m","File:qu-n-l--s-n-ph-m/models.py","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m","File:qu-n-l--s-n-ph-m/index.html","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m","File:qu-n-l--s-n-ph-m/create_db.py","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m","File:qu-n-l--s-n-ph-m/app.py","CONTAINS",1,"",0
"Folder:static","File:static/style.css","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m","Folder:qu-n-l--s-n-ph-m/templates","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m/templates","File:qu-n-l--s-n-ph-m/templates/register.html","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m/templates","File:qu-n-l--s-n-ph-m/templates/products.html","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m/templates","File:qu-n-l--s-n-ph-m/templates/login.html","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m/templates","File:qu-n-l--s-n-ph-m/templates/dashboard.html","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m/templates","File:qu-n-l--s-n-ph-m/templates/base.html","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m/templates","File:qu-n-l--s-n-ph-m/templates/add_product.html","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m","Folder:qu-n-l--s-n-ph-m/static","CONTAINS",1,"",0
"Folder:qu-n-l--s-n-ph-m/static","File:qu-n-l--s-n-ph-m/static/style.css","CONTAINS",1,"",0
"File:app.py","Variable:app.py:app","DEFINES",1,"",0
"File:app.py","Function:app.py:init_db","DEFINES",1,"",0
"File:app.py","Variable:app.py:conn","DEFINES",1,"",0
"File:app.py","Variable:app.py:c","DEFINES",1,"",0
"File:app.py","Function:app.py:init_product_db","DEFINES",1,"",0
"File:app.py","Variable:app.py:users","DEFINES",1,"",0
"File:app.py","Function:app.py:home","DEFINES",1,"",0
"File:app.py","Function:app.py:register","DEFINES",1,"",0
"File:app.py","Variable:app.py:fullname","DEFINES",1,"",0
"File:app.py","Variable:app.py:username","DEFINES",1,"",0
"File:app.py","Variable:app.py:email","DEFINES",1,"",0
"File:app.py","Variable:app.py:password","DEFINES",1,"",0
"File:app.py","Variable:app.py:confirm","DEFINES",1,"",0
"File:app.py","Function:app.py:login","DEFINES",1,"",0
"File:app.py","Variable:app.py:user","DEFINES",1,"",0
"File:app.py","Function:app.py:dashboard","DEFINES",1,"",0
"File:app.py","Variable:app.py:keyword","DEFINES",1,"",0
"File:app.py","Variable:app.py:category","DEFINES",1,"",0
"File:app.py","Variable:app.py:total_category","DEFINES",1,"",0
"File:app.py","Variable:app.py:total_price","DEFINES",1,"",0
"File:app.py","Variable:app.py:total_quantity","DEFINES",1,"",0
"File:app.py","Variable:app.py:name","DEFINES",1,"",0
"File:app.py","Variable:app.py:price","DEFINES",1,"",0
"File:app.py","Variable:app.py:quantity","DEFINES",1,"",0
"File:app.py","Variable:app.py:code","DEFINES",1,"",0
"File:app.py","Variable:app.py:image","DEFINES",1,"",0
"File:app.py","Variable:app.py:filename","DEFINES",1,"",0
"File:app.py","Variable:app.py:sql","DEFINES",1,"",0
"File:app.py","Variable:app.py:params","DEFINES",1,"",0
"File:app.py","Variable:app.py:products","DEFINES",1,"",0
"File:app.py","Variable:app.py:total_products","DEFINES",1,"",0
"File:app.py","Variable:app.py:categories","DEFINES",1,"",0
"File:app.py","Function:app.py:products","DEFINES",1,"",0
"File:app.py","Function:app.py:update_product","DEFINES",1,"",0
"File:app.py","Variable:app.py:id","DEFINES",1,"",0
"File:app.py","Variable:app.py:old_image","DEFINES",1,"",0
"File:app.py","Function:app.py:delete_product","DEFINES",1,"",0
"File:models.py","Class:models.py:User","DEFINES",1,"",0
"File:models.py","Variable:models.py:id","DEFINES",1,"",0
"File:models.py","Variable:models.py:email","DEFINES",1,"",0
"File:models.py","Variable:models.py:password","DEFINES",1,"",0
"File:models.py","Class:models.py:Product","DEFINES",1,"",0
"File:models.py","Variable:models.py:name","DEFINES",1,"",0
"File:models.py","Variable:models.py:price","DEFINES",1,"",0
"File:models.py","Variable:models.py:image","DEFINES",1,"",0
"File:models.py","Variable:models.py:category","DEFINES",1,"",0
"File:models.py","Variable:models.py:quantity","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:app","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:init_db","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:conn","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:c","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:init_product_db","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:users","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:home","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:register","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:fullname","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:username","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:email","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:password","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:confirm","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:login","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:user","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:dashboard","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:keyword","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:category","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:total_category","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:total_price","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:total_quantity","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:name","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:price","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:quantity","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:code","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:image","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:filename","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:sql","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:params","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:products","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:total_products","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:categories","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:products","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:update_product","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:id","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Variable:qu-n-l--s-n-ph-m/app.py:old_image","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:delete_product","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/models.py","Class:qu-n-l--s-n-ph-m/models.py:User","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/models.py","Variable:qu-n-l--s-n-ph-m/models.py:id","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/models.py","Variable:qu-n-l--s-n-ph-m/models.py:email","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/models.py","Variable:qu-n-l--s-n-ph-m/models.py:password","DEFINES",1,"",0
